arquivo,divisao,rotulo,indice,rot_x,rot_y,rot_z,matiz,saturacao,fator_escala,fator_luz,fator_camera,semente
train/A/A_000000.png,train,A,0,4.0176,0.1571,1.7281,0.2232,0.9341,1.0530,1.3245,0.9217,42
train/A/A_000001.png,train,A,1,2.6510,0.1872,1.3737,0.5054,0.7566,0.9097,1.1549,1.0362,42
train/A/A_000002.png,train,A,2,1.3851,3.7025,5.0858,0.0065,0.9515,1.0594,0.9382,0.9389,42
train/A/A_000003.png,train,A,3,6.0143,2.1149,0.5827,0.0967,0.9619,1.0311,1.2650,1.0824,42
train/A/A_000004.png,train,A,4,3.3692,6.1143,2.3784,0.5520,0.9574,1.0356,1.3032,1.0443,42
train/A/A_000005.png,train,A,5,4.4270,0.2879,1.4319,0.2894,0.7699,0.9198,0.7707,0.9695,42
train/A/A_000006.png,train,A,6,3.9941,2.2923,2.3259,0.2095,0.8167,1.1310,1.1536,1.0523,42
train/A/A_000007.png,train,A,7,1.0753,4.5812,1.0267,0.3795,0.9974,1.0420,1.0899,1.0712,42
train/A/A_000008.png,train,A,8,5.2958,4.8758,1.4392,0.0321,0.8289,0.9303,0.8477,1.1357,42
train/A/A_000009.png,train,A,9,5.5064,1.9772,4.1182,0.3956,0.9786,0.9877,0.8854,0.9617,42
train/B/B_000000.png,train,B,0,5.1129,4.4359,1.8689,0.6145,0.7712,0.8902,0.7825,0.9763,42
train/B/B_000001.png,train,B,1,1.1501,4.3570,3.2096,0.4182,0.7845,0.9651,0.8300,1.0589,42
train/B/B_000002.png,train,B,2,4.3570,4.0543,6.2826,0.5549,0.8724,0.8921,0.9202,1.0128,42
train/B/B_000003.png,train,B,3,0.3368,2.2559,0.0602,0.1365,0.9538,1.1391,1.0538,1.0237,42
train/B/B_000004.png,train,B,4,4.3021,2.6115,5.2772,0.4887,0.7707,0.8593,1.2327,0.9730,42
train/B/B_000005.png,train,B,5,1.7270,3.3779,1.0569,0.4573,0.9356,1.0798,1.0848,0.9283,42
train/B/B_000006.png,train,B,6,0.7176,4.8702,5.1728,0.3669,0.9557,0.8625,1.2033,1.0366,42
train/B/B_000007.png,train,B,7,6.2189,0.6435,5.2155,0.7513,0.8244,1.1498,1.0148,0.9871,42
train/B/B_000008.png,train,B,8,5.1317,2.7588,6.2452,0.7756,0.8092,1.0932,1.1115,0.9877,42
train/B/B_000009.png,train,B,9,4.4658,3.9758,1.0429,0.1392,0.8017,0.9121,0.7416,0.9877,42
train/C/C_000000.png,train,C,0,3.5019,5.9602,0.7438,0.3176,0.9699,1.0681,1.2358,1.1200,42
train/C/C_000001.png,train,C,1,2.6015,2.5840,2.7835,0.9338,0.9735,1.1300,0.8917,1.0948,42
train/C/C_000002.png,train,C,2,0.6709,1.1608,4.7906,0.6120,0.8167,1.0201,0.8616,0.9580,42
train/C/C_000003.png,train,C,3,4.3189,2.2573,4.3237,0.4766,0.8756,1.0314,1.1984,0.9935,42
train/C/C_000004.png,train,C,4,5.3541,3.0878,0.8640,0.1933,0.7581,1.0794,0.7105,0.9675,42
train/C/C_000005.png,train,C,5,2.5952,4.6644,6.2093,0.7578,0.7665,1.1281,1.3899,1.1168,42
train/C/C_000006.png,train,C,6,3.0784,2.0414,2.8748,0.2468,0.8512,0.8625,1.2147,0.9951,42
train/C/C_000007.png,train,C,7,1.9660,3.8422,4.6651,0.5938,0.8813,1.1127,1.2508,1.0302,42
